# col  1   : time [sec]
# col  2   : status
# col  3- 8: joint position [rad]
# col  9-14: joint speed [rad/sec]
# col 15-20: joint torque
# col 21-26: TCP pose [m, rad]
# col 27-32: TCP speed
1.088 4  1.468360 -2.194780 1.293970 -0.669151 4.707700 -0.097322  0.012195 0.000000 -0.000000 0.000000 -0.032238 0.019223  -3.438780 0.614996 -1.324350 -0.244683 1.465380 3.510310  0.099991 -0.099999 0.499986 3.141580 -0.000024 3.141510  -0.006558 0.001979 0.000012 0.003024 0.032096 -0.006958
1.096 4  1.468360 -2.194790 1.293970 -0.669091 4.707580 -0.097431  -0.012553 0.000000 -0.000000 0.000000 0.042376 0.003667  2.311780 0.702547 -1.466020 -0.200543 -3.002250 -3.086150  0.099964 -0.099977 0.499981 3.141520 -0.000139 -3.141570  0.008968 -0.002254 -0.000017 -0.003781 -0.042207 -0.016174
1.104 4  1.468350 -2.194800 1.293970 -0.669139 4.707790 -0.097431  0.014637 0.000000 -0.000000 0.000000 -0.026054 -0.049375  -3.872230 0.965199 -1.664360 -0.185829 1.657060 3.320170  0.100011 -0.099989 0.499987 -3.141590 0.000058 -3.141580  -0.004822 0.002078 0.000009 0.003360 0.025832 0.064076
1.112 4  1.468380 -2.194800 1.293970 -0.669115 4.707610 -0.097394  -0.011761 0.000000 -0.000000 0.000000 0.017713 0.043335  3.149800 0.614996 -1.777700 -0.185829 -2.633630 -0.438789  0.099972 -0.099976 0.499984 3.141560 -0.000119 -3.141580  0.003097 -0.001593 -0.000007 -0.001241 -0.017666 -0.055098
1.120 4  1.468370 -2.194800 1.293960 -0.669163 4.707810 -0.097538  0.002173 0.000000 -0.000000 0.000000 0.009492 -0.032381  -5.172610 0.731730 -1.437690 -0.259397 1.819250 -0.760567  0.100019 -0.099993 0.499993 -3.141550 0.000079 -3.141450  0.002507 -0.000006 -0.000003 -0.001089 -0.009427 0.034554
1.128 4  1.468370 -2.194760 1.293930 -0.669174 4.707580 -0.097346  -0.011645 0.000000 -0.000000 0.000000 -0.014741 0.014357  4.536870 0.906831 -1.296020 -0.171116 -3.503560 3.612690  0.099962 -0.100008 0.499998 -3.141580 -0.000147 3.141550  -0.004721 -0.000817 0.000006 0.001241 0.014687 -0.025985
1.136 4  1.468390 -2.194790 1.293940 -0.669151 4.707810 -0.097490  -0.004295 0.000000 -0.000000 0.000000 -0.026126 0.033795  -4.825840 0.848464 -1.466020 -0.126975 2.409040 -3.042270  0.100021 -0.099991 0.499995 -3.141560 0.000080 -3.141470  -0.006732 0.000186 0.000009 0.002048 0.026043 -0.038049
1.144 4  1.468380 -2.194820 1.293970 -0.669174 4.707610 -0.097382  -0.010866 0.000000 -0.000000 0.000000 0.002828 -0.043215  4.854740 0.819281 -1.409360 -0.229970 -3.429840 2.150060  0.099971 -0.099986 0.499991 -3.141560 -0.000126 -3.141590  -0.000404 -0.001153 -0.000001 -0.000315 -0.002809 0.032348
1.152 4  1.468360 -2.194790 1.293920 -0.669115 4.707880 -0.097358  -0.004167 0.000000 -0.000000 0.000000 -0.003523 0.042376  -4.941430 0.877648 -1.267690 -0.200543 2.748160 1.111600  0.100036 -0.099987 0.500000 -3.141570 0.000152 3.141550  -0.001267 -0.000334 0.000001 0.000267 0.003512 -0.046541
1.160 4  1.468420 -2.194790 1.294000 -0.669186 4.707520 -0.097526  0.006251 0.000000 -0.000000 0.000000 -0.016179 -0.017569  4.421280 0.994382 -1.437690 -0.112262 -3.975390 -2.267070  0.099953 -0.099995 0.499978 3.141570 -0.000204 -3.141410  -0.003278 0.001006 0.000007 0.001768 0.016081 0.023845
1.168 4  1.468310 -2.194780 1.293960 -0.669115 4.707920 -0.097419  -0.004704 0.000000 -0.000000 0.000000 0.016179 -0.003595  -5.663870 0.906831 -1.352690 -0.185829 2.600720 3.685820  0.100039 -0.099999 0.499986 3.141580 0.000193 3.141560  0.003433 -0.000852 -0.000005 -0.001566 -0.016103 -0.001108
