921.75 857.25 948	0.394669 -0.51249 -0.0347905
1034.25 675.75 943	0.228515 -0.437476 -0.0353241
1250.25 756.75 939	0.110436 -0.593786 -0.0335831
1079.25 540.75 937	0.131615 -0.359424 -0.0372153
878.25 677.25 898	0.345806 -0.361896 -0.0363055
1115.25 852.75 949	0.255329 -0.598504 -0.0330838
1022.25 630.75 1867	0.222852 -0.393542 0.0202224
1265.25 753.75 1827	0.110112 -0.583778 0.022082
1095.75 530.25 883	0.129126 -0.3591 0.0183776
1295.25 804.75 925	0.113365 -0.632617 0.0227175
981.75 875.25 957	0.356282 -0.53654 0.0208289
819.75 639.75 1155	0.365643 -0.313775 0.0180076
1091.25 702.75 1858	0.207745 -0.475139 0.0221223
1233.75 591.75 878	0.0560655 -0.459817 0.021428
999.75 725.25 942	0.280625 -0.44814 0.0217114
1077.75 872.25 909	0.2899 -0.57748 0.0220448
1047.75 587.25 941	0.185567 -0.379017 0.018116
1142.25 795.75 935	0.211582 -0.556876 0.0216495
