-0.0470976 0.134671 0.95855	0.0527934 -0.563136 0.021758
0.51862 0.158762 0.970278	0.103828 -0.396027 0.0185963
0.519746 0.12534 0.942511	0.304187 -0.386383 0.018452
-0.236922 0.0962029 0.96	0.155664 -0.560953 0.022528
0.535796 0.0595176 0.976778	0.356982 -0.50934 0.0201161
-1.27085 0.304107 0.927759	0.190747 -0.441307 0.0183601
-inf -inf 0.959222	0.304949 -0.348142 0.0190286
-1.06637 0.326935 0.943915	0.349683 -0.318037 0.0177004
0.467295 0.152777 0.941067	0.0650993 -0.567707 0.0223958
-inf -inf 0.953761	0.0930741 -0.032937 0.328398
0.0896265 0.102751 0.9355	0.215462 -0.519419 -0.0342487
-inf -inf 0.97705	0.113711 -0.0606848 0.275287
0.486609 0.154038 0.975756	0.318578 -0.37069 -0.0357098
-inf -inf 0.949689	0.128776 0.0503677 0.213698
-inf -inf 0.948867	0.128774 0.0503739 0.213685
-0.430146 0.236033 0.940933	0.0793944 -0.32411 -0.037472
0.526855 0.105609 0.940711	0.0816877 -0.58711 -0.0337355
-0.224661 0.104124 0.95325	0.392191 -0.401966 -0.0354719
0.425715 0.19943 0.960379	0.212335 -0.460846 -0.0347506
0.0661735 0.0793355 0.954444	0.257702 -0.542202 -0.0340024
