# col  1   : time [sec]
# col  2   : status
# col  3- 8: joint position [rad]
# col  9-14: joint speed [rad/sec]
# col 15-20: joint torque
# col 21-26: TCP pose [m, rad]
# col 27-32: TCP speed
2.080 4  1.812290 -2.305090 1.722420 -0.646690 4.690230 -0.024410  0.018497 -0.015992 -0.000000 0.041178 0.029050 0.000000  -5.346000 -1.608480 2.563960 -0.599569 -0.365216 0.906830  0.114562 -0.023889 0.361405 2.800710 -0.006209 -2.866240  0.003635 0.018489 0.000355 0.031041 -0.020558 0.008707
2.088 4  1.812290 -2.305060 1.722410 -0.646582 4.690160 -0.024433  -0.015302 0.013052 -0.000000 -0.029433 -0.028163 0.000000  4.623560 -2.629900 2.535630 1.519170 0.652164 0.906830  0.114540 -0.023873 0.361408 2.800590 -0.006265 -2.866190  -0.004279 -0.014330 -0.000308 -0.022452 0.021673 -0.006294
2.096 4  1.812310 -2.305010 1.722430 -0.646750 4.690230 -0.024445  0.018715 -0.002020 -0.000000 0.015340 0.031974 0.000000  -5.028130 5.950070 2.648960 -0.702564 -0.925512 0.936082  0.114571 -0.023919 0.361398 2.800680 -0.006196 -2.866190  0.006857 0.008485 -0.000148 0.020197 -0.026071 0.007846
2.104 4  1.812300 -2.305060 1.722430 -0.646487 4.690220 -0.024433  -0.017002 -0.004385 -0.000000 0.012943 -0.028427 0.000000  4.276800 -5.606620 2.535630 2.696250 1.418890 0.892203  0.114549 -0.023842 0.361398 2.800470 -0.006204 -2.866200  -0.008173 0.000751 0.000223 0.001644 0.028054 -0.007380
2.112 4  1.812370 -2.304970 1.722470 -0.646798 4.690240 -0.024494  0.018868 0.012566 -0.000000 -0.014381 0.035737 0.000000  -4.565770 6.329450 2.592300 -1.364670 -1.574280 0.921456  0.114581 -0.023935 0.361384 2.800650 -0.006167 -2.866080  0.010558 -0.002616 -0.000655 0.006379 -0.033141 0.006717
2.120 4  1.812360 -2.305060 1.722390 -0.646547 4.690240 -0.024410  -0.016120 -0.010763 -0.000000 0.025910 -0.041298 0.000000  3.178700 -5.110500 2.648960 2.946380 1.433630 0.979961  0.114560 -0.023851 0.361411 2.800560 -0.006193 -2.866170  -0.012401 0.005026 0.000487 0.005124 0.041420 -0.002029
2.128 4  1.812390 -2.305010 1.722440 -0.646738 4.690280 -0.024433  0.020133 0.013691 -0.000000 -0.021596 0.033388 0.000000  -4.161210 0.930494 2.535630 -0.570142 -0.497917 0.921456  0.114583 -0.023905 0.361394 2.800660 -0.006154 -2.866140  0.010562 -0.004730 -0.000642 -0.000103 -0.032447 0.008832
2.136 4  1.812350 -2.305050 1.722380 -0.646618 4.690230 -0.024445  -0.016848 -0.016861 -0.000000 0.016179 -0.027516 0.000000  4.507970 3.381910 3.102310 1.651600 0.666909 0.936082  0.114562 -0.023874 0.361415 2.800640 -0.006195 -2.866150  -0.008972 0.004935 0.000826 -0.007115 0.024988 -0.007635
2.144 4  1.812350 -2.305060 1.722440 -0.646678 4.690230 -0.024457  0.017270 -0.004270 -0.000000 0.007454 0.027779 0.000000  -4.450180 -5.168870 2.705630 2.151850 -0.807555 0.892203  0.114564 -0.023884 0.361396 2.800650 -0.006191 -2.866140  0.006186 0.006671 0.000048 0.009398 -0.024638 0.007900
2.152 4  1.812350 -2.305000 1.722440 -0.646786 4.690200 -0.024398  -0.015710 -0.002186 -0.000000 -0.016179 -0.024520 0.000000  4.450180 7.555160 2.337290 -1.776650 1.065010 0.848325  0.114567 -0.023929 0.361394 2.800690 -0.006246 -2.866180  -0.005257 -0.006790 0.000341 -0.023548 0.017880 -0.007818
2.160 4  1.812310 -2.305100 1.722370 -0.646535 4.690240 -0.024398  0.017884 -0.004461 -0.000000 0.009228 0.032238 0.000000  -4.854740 -6.744780 2.535630 3.417210 -0.955001 0.862951  0.114556 -0.023845 0.361421 2.800610 -0.006199 -2.866230  0.007122 0.007509 0.000026 0.011959 -0.028334 0.006978
2.168 4  1.812340 -2.305010 1.722370 -0.646786 4.690200 -0.024494  -0.015289 0.011773 -0.000000 -0.014381 -0.027684 0.000000  4.739150 5.804150 2.705630 -0.717277 0.548952 0.906830  0.114566 -0.023930 0.361419 2.800780 -0.006217 -2.866100  -0.005193 -0.010167 -0.000372 -0.008986 0.024608 -0.006220
2.176 4  1.812340 -2.305100 1.722390 -0.646618 4.690280 -0.024398  0.015199 -0.012566 -0.000000 0.014261 0.025934 0.000000  -4.796950 -3.709690 2.592300 -0.040457 -0.144046 0.906830  0.114570 -0.023860 0.361413 2.800670 -0.006166 -2.866220  0.004736 0.010229 0.000420 0.007544 -0.023280 0.006513
